Year	State	Industry Sector Category	Residential	Commercial	Industrial	Transportation	Other	Total
2012	AK	Total Electric Industry	17.88	14.93	16.82	0	\N	16.33
2012	AL	Total Electric Industry	11.4	10.63	6.22	0	\N	9.18
2012	AR	Total Electric Industry	9.3	7.71	5.77	11.23	\N	7.62
2012	AZ	Total Electric Industry	11.29	9.53	6.53	0	\N	9.81
2012	CA	Total Electric Industry	15.34	13.41	10.49	7.17	\N	13.53
2012	CO	Total Electric Industry	11.46	9.39	6.95	9.69	\N	9.39
2012	CT	Total Electric Industry	17.34	14.65	12.67	9.69	\N	15.54
2012	DC	Total Electric Industry	12.28	12.02	5.46	9.01	\N	11.85
2012	DE	Total Electric Industry	13.58	10.13	8.36	0	\N	11.06
2012	FL	Total Electric Industry	11.42	9.66	8.04	8.45	\N	10.44
2012	GA	Total Electric Industry	11.17	9.58	5.98	7.65	\N	9.37
2012	HI	Total Electric Industry	37.34	34.88	30.82	0	\N	34.04
2012	IA	Total Electric Industry	10.82	8.01	5.3	0	\N	7.71
2012	ID	Total Electric Industry	8.67	6.86	5.48	0	\N	6.92
2012	IL	Total Electric Industry	11.38	7.99	5.8	6.15	\N	8.4
2012	IN	Total Electric Industry	10.53	9.14	6.34	9.56	\N	8.29
2012	KS	Total Electric Industry	11.24	9.24	7.09	0	\N	9.33
2012	KY	Total Electric Industry	9.43	8.73	5.35	0	\N	7.26
2012	LA	Total Electric Industry	8.37	7.75	4.76	8.72	\N	6.9
2012	MA	Total Electric Industry	14.91	13.84	12.57	4.91	\N	13.79
2012	MD	Total Electric Industry	12.84	10.43	8.09	8.29	\N	11.28
2012	ME	Total Electric Industry	14.66	11.53	7.98	0	\N	11.81
2012	MI	Total Electric Industry	14.13	10.93	7.62	8.08	\N	10.98
2012	MN	Total Electric Industry	11.35	8.84	6.54	8.67	\N	8.86
2012	MO	Total Electric Industry	10.17	8.2	5.89	6.97	\N	8.53
2012	MS	Total Electric Industry	10.26	9.33	6.24	0	\N	8.6
2012	MT	Total Electric Industry	10.08	9.13	5.1	0	\N	8.25
2012	NC	Total Electric Industry	10.91	8.66	6.42	7.88	\N	9.15
2012	ND	Total Electric Industry	9.06	8.02	6.55	0	\N	7.83
2012	NE	Total Electric Industry	10.04	8.38	7.01	0	\N	8.37
2012	NH	Total Electric Industry	16.07	13.36	11.83	0	\N	14.19
2012	NJ	Total Electric Industry	15.78	12.78	10.52	9.77	\N	13.68
2012	NM	Total Electric Industry	11.38	9.32	5.83	0	\N	8.83
2012	NV	Total Electric Industry	11.83	8.83	6.48	8.4	\N	8.95
2012	NY	Total Electric Industry	17.62	15.06	6.7	14.2	\N	15.15
2012	OH	Total Electric Industry	11.76	9.47	6.24	6.98	\N	9.12
2012	OK	Total Electric Industry	9.51	7.32	5.09	0	\N	7.54
2012	OR	Total Electric Industry	9.8	8.31	5.59	8.24	\N	8.21
2012	PA	Total Electric Industry	12.75	9.44	7.23	8.07	\N	9.91
2012	RI	Total Electric Industry	14.4	11.87	10.68	8.28	\N	12.74
2012	SC	Total Electric Industry	11.77	9.63	6.02	0	\N	9.1
2012	SD	Total Electric Industry	10.07	8.1	6.57	0	\N	8.49
2012	TN	Total Electric Industry	10.1	10.31	7.08	11.28	\N	9.27
